Core,Date,Time,Run,Headspace,Valve
BC13-3,7/24/18,10.00-11.05,2,17,8
BC13-4,7/24/18,10.00-11.05,2,17.5,9
BC13-6,7/24/18,10.00-11.05,2,16.5,10
BC13-8,7/24/18,10.00-11.05,2,15,11
BC13-1,7/24/18,10.00-11.05,2,14,12
BC13-7,7/24/18,10.00-11.05,2,15,13
BC13-15,7/24/18,10.00-11.05,2,15,14
BC13-2,7/24/18,10.00-11.05,2,16,15
BC2-12,7/24/18,11.23-12.31,3,17,1
BC2-11,7/24/18,11.23-12.31,3,16.5,3
BC3-12,7/24/18,11.23-12.31,3,15,4
BC3-11,7/24/18,11.23-12.31,3,17,5
BC2-1,7/24/18,11.23-12.31,3,15,6
BC3-10,7/24/18,11.23-12.31,3,17,7
BC3-4,7/24/18,11.23-12.31,3,16.5,8
BC2-3,7/24/18,11.23-12.31,3,16,9
BC3-6,7/24/18,11.23-12.31,3,15,10
BC3-15,7/24/18,11.23-12.31,3,16.5,11
BC2-8,7/24/18,11.23-12.31,3,17,12
BC2-14,7/24/18,11.23-12.31,3,17.5,13
BC3-13,7/24/18,11.23-12.31,3,16.5,14
BC3-8,7/24/18,11.23-12.31,3,17,15
BC2-12,7/24/18,12.46-2.00,4,17,1
BC2-11,7/24/18,12.46-2.00,4,16.5,3
BC3-12,7/24/18,12.46-2.00,4,14,4
BC3-11,7/24/18,12.46-2.00,4,14.5,5
BC2-1,7/24/18,12.46-2.00,4,15,6
BC3-10,7/24/18,12.46-2.00,4,15,7
BC3-4,7/24/18,12.46-2.00,4,16.5,8
BC2-3,7/24/18,12.46-2.00,4,16,9
BC3-6,7/24/18,12.46-2.00,4,15,10
BC3-15,7/24/18,12.46-2.00,4,16.5,11
BC2-8,7/24/18,12.46-2.00,4,17,12
BC2-14,7/24/18,12.46-2.00,4,17.5,13
BC3-13,7/24/18,12.46-2.00,4,16.5,14
BC3-8,7/24/18,12.46-2.00,4,17,15
BC3-1,7/24/18,2.31-3.34,5,18,1
BC4-4,7/24/18,2.31-3.34,5,17,3
BC4-5,7/24/18,2.31-3.34,5,15,5
BC4-6,7/24/18,2.31-3.34,5,15,6
BC4-2,7/24/18,2.31-3.34,5,17.5,7
BC4-14,7/24/18,2.31-3.34,5,15,8
BC3-9,7/24/18,2.31-3.34,5,16.5,9
BC4-1,7/24/18,2.31-3.34,5,16,10
BC4-11,7/24/18,2.31-3.34,5,15,11
BC4-13,7/24/18,2.31-3.34,5,15.5,12
BC4-7,7/24/18,2.31-3.34,5,15,13
BC4-10,7/24/18,2.31-3.34,5,15,14
BC3-1,7/24/18,3.57-5.00,6,15,1
BC4-4,7/24/18,3.57-5.00,6,16,3
BC4-5,7/24/18,3.57-5.00,6,15,5
BC4-6,7/24/18,3.57-5.00,6,12,6
BC4-2,7/24/18,3.57-5.00,6,15,7
BC4-14,7/24/18,3.57-5.00,6,14,8
BC3-9,7/24/18,3.57-5.00,6,16.5,9
BC4-1,7/24/18,3.57-5.00,6,16,10
BC4-11,7/24/18,3.57-5.00,6,15,11
BC4-13,7/24/18,3.57-5.00,6,15.5,12
BC4-7,7/24/18,3.57-5.00,6,15,13
BC4-10,7/24/18,3.57-5.00,6,15,14
BC13-2,7/25/18,9.46-10.56,1,16,1
BC13-8,7/25/18,9.46-10.56,1,18,3
